Customer Zipcode,Customer Segment,Customer Id,Customer Fname,Customer Lname
725,Consumer,20755,Cally,Holloway
725,Consumer,19492,Irene,Luna
95125,Consumer,19491,Gillian,Maldonado
90027,Home Office,19490,Tana,Tate
725,Corporate,19489,Orli,Hendricks
14150,Consumer,19488,Kimberly,Flowers
725,Home Office,19487,Constance,Terrell
33162,Corporate,19486,Erica,Stevens
725,Corporate,19485,Nichole,Olsen
94583,Corporate,19484,Oprah,Delacruz
725,Corporate,19483,Germane,Short
11520,Consumer,19482,Freya,Robbins
93905,Corporate,19481,Cassandra,Jensen
725,Corporate,19480,Natalie,Mcfadden
1960,Corporate,19479,Kimberley,Sharpe
725,Corporate,19478,Sade,Lancaster
729,Corporate,19477,Brynne,Giles
90723,Corporate,19476,Ciara,Bird
725,Consumer,19475,Bo,Griffin
60056,Consumer,19474,Kim,Simon
90813,Corporate,19473,Kellie,Farmer
725,Corporate,19472,Alma,Conley
95670,Corporate,19471,Yeo,Bird
725,Corporate,19470,Lucy,Mcknight
59102,Corporate,19469,Simone,Vance
725,Corporate,19468,Roary,Wheeler
18702,Consumer,19467,Quail,Ashley
725,Corporate,19466,Hannah,Velez
48066,Corporate,19465,Evelyn,Kelly
90706,Consumer,19464,Jael,Mcfarland
725,Consumer,19463,Teagan,Romero
60187,Consumer,19462,Joan,Wilder
725,Consumer,19461,Basia,Watts
48238,Consumer,19460,Dominique,Rogers
75220,Consumer,19459,Ainsley,Mathis
725,Corporate,19458,Aurora,Sharp
17013,Corporate,19457,Libby,Bray
75228,Corporate,19456,Amy,Lindsay
725,Consumer,19455,Ivory,Parks
19702,Consumer,19454,Karina,Prince
91402,Consumer,19453,Deanna,Goff
725,Home Office,19452,Dacey,Walters
30318,Home Office,19451,Adele,Pennington
725,Home Office,19450,Sybill,Spencer
94539,Consumer,19449,Kay,Sandoval
725,Corporate,19448,Stacy,Mckinney
14609,Corporate,19447,Marah,Lara
75211,Corporate,19446,Taylor,Wood
957,Home Office,9083,Mary,Frank
725,Home Office,4741,Mary,Smith
725,Home Office,639,Elizabeth,Pittman
725,Home Office,9702,Katherine,Tyler
725,Home Office,9114,Mary,Smith
725,Home Office,1362,Dennis,Smith
725,Home Office,8011,Mary,Hill
725,Home Office,3296,Mary,Smith
725,Home Office,3182,Frances,Smith
725,Home Office,7864,Alice,Smith
725,Home Office,11169,Kyle,Thomas
725,Home Office,5197,Brenda,Jordan
725,Home Office,1535,Frank,Livingston
725,Home Office,6122,Johnny,Smith
725,Home Office,9451,Mary,Smith
725,Home Office,542,Mary,Smith
725,Home Office,11329,Hannah,Smith
725,Home Office,3570,Mary,Nelson
725,Home Office,650,Austin,Sexton
725,Home Office,9353,Michael,Scott
725,Home Office,54,Mary,Olson
725,Home Office,12151,Vincent,Krueger
